objectid,parentid,filename,title,piece_identifier,types,score_order,part_order,part_types,historical_background,physical_notes,key,tempo,premiere_date,creator,date,date is approximate,description,arrangement,subject,location,latitude,longitude,source,box,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
,bukvich0009,threenativesongs_aux.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/threenativesongs_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/threenativesongs_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/threenativesongs_aux_th.jpg
,bukvich0009,threenativesongs_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/threenativesongs_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/threenativesongs_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/threenativesongs_parts_th.jpg
bukvich0010,,fivefanttoneag_sketches.pdf,Five Fantasies on the Tones A & G for Brass Quintet,fivefanttoneag,scores;sketches;parts,handwritten score;typeset score;,trumpet;horn;trombone;tuba;,typeset parts;,"Written for Al Gimberling, the piece is based off his initials ""A & G."" The spelling of the 4th movement is a hymn but was referring to him, Al Gimberling. During the first rehearsal of this piece, Al was recorded to have broken into tears from the content of the 4th movement. ",,,,,"Bukvich, Daniel",2019,yes,Brass quintet,Brass Quintet,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",24,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/fivefanttoneag_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/fivefanttoneag_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/fivefanttoneag_sketches_th.jpg
,bukvich0010,fivefanttoneag_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/fivefanttoneag_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/fivefanttoneag_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/fivefanttoneag_scores_th.jpg
,bukvich0010,fivefanttoneag_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/fivefanttoneag_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/fivefanttoneag_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/fivefanttoneag_parts_th.jpg
bukvich0011,,harmdusoir_sketches.pdf,Harmonie du soir,harmdusoir,scores;parts;sketches;aux,handwritten score;typeset score;,violin;piano;,typeset parts;,"Written for Emily Benjamin, a music and french major at the University of Idaho. She asked for a piece that she could play and sing. Benjamin picked a poem by Charles Baudelaire that Bukvich then adapted for this piece. This piece has also been performed by University of Idaho faculty members, Eneida Larti and Giselle Hillyer.  ",,,,,"Bukvich, Daniel",2013,yes,Solo violin and piano,Solo violin and piano,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",24,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng;fra,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/harmdusoir_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/harmdusoir_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/harmdusoir_sketches_th.jpg
,bukvich0011,harmdusoir_aux.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/harmdusoir_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/harmdusoir_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/harmdusoir_aux_th.jpg
,bukvich0011,harmdusoir_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/harmdusoir_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/harmdusoir_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/harmdusoir_parts_th.jpg
,bukvich0011,harmdusoir_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/harmdusoir_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/harmdusoir_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/harmdusoir_scores_th.jpg
bukvich0012,,halfsongsaxpiano_sketches.pdf,Thee and One-Half Songs for Alto Saxophone and Piano,halfsongsaxpiano,aux;scores;parts;typeset parts;sketches,handwritten score;typeset score;,alto saxophone;piano;,typeset parts;,Commission from Vanessa Sielert for her album Duality with Catherine Anderson. The final half song notably uses tin foil in the end of the saxophone bell.,,,,,"Bukvich, Daniel",2020,yes,Solo alto saxophone and piano,Solo alto saxophone and piano,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",25,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/halfsongsaxpiano_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/halfsongsaxpiano_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/halfsongsaxpiano_sketches_th.jpg
,bukvich0012,halfsongsaxpiano_aux.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/halfsongsaxpiano_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/halfsongsaxpiano_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/halfsongsaxpiano_aux_th.jpg
